
#江苏,#genre#
max极速汽车-BESTV,http://117.86.143.212:55555/rtp/239.49.0.237:8000
max极速汽车-BESTV,http://180.112.95.75:8888/rtp/239.49.0.237:8000
max极速汽车-BESTV,http://117.86.230.196:8000/rtp/239.49.0.237:8000
max极速汽车-BESTV,http://114.228.82.234:8888/rtp/239.49.0.237:8000
max极速汽车-BESTV,http://114.232.174.35:8889/rtp/239.49.0.237:8000
导视-江苏ITV,http://117.86.230.196:8000/rtp/239.49.0.190:9458
导视-江苏ITV,http://114.228.82.234:8888/rtp/239.49.0.190:9458
导视-江苏ITV,http://114.232.174.35:8889/rtp/239.49.0.190:9458
导视-江苏ITV,http://180.112.95.75:8888/rtp/239.49.0.190:9458
新沂影视剧频道,http://117.86.230.196:8000/rtp/239.49.0.125:8000
新沂影视剧频道,http://180.112.95.75:8888/rtp/239.49.0.125:8000
新沂影视剧频道,http://114.232.174.35:8889/rtp/239.49.0.125:8000
新沂影视剧频道,http://114.228.82.234:8888/rtp/239.49.0.125:8000
江苏体育休闲,http://114.228.82.234:8888/rtp/239.49.0.19:8144
江苏体育休闲,http://117.86.143.212:55555/rtp/239.49.0.19:8144
江苏体育休闲,http://117.86.230.196:8000/rtp/239.49.0.19:8144
江苏体育休闲,http://114.232.174.35:8889/rtp/239.49.0.19:8144
江苏公共-新闻,http://117.86.230.196:8000/rtp/239.49.0.149:9186
江苏公共-新闻,http://114.232.174.35:8889/rtp/239.49.0.149:9186
江苏公共-新闻,http://180.112.95.75:8888/rtp/239.49.0.149:9186
江苏公共-新闻,http://114.228.82.234:8888/rtp/239.49.0.149:9186
江苏国际,http://117.86.143.212:55555/rtp/239.49.0.22:8168
江苏国际,http://117.86.230.196:8000/rtp/239.49.0.22:8168
江苏国际,http://180.112.95.75:8888/rtp/239.49.0.22:8168
江苏国际,http://114.232.174.35:8889/rtp/239.49.0.22:8168
江苏国际,http://114.228.82.234:8888/rtp/239.49.0.22:8168
江苏影视,http://180.112.95.75:8888/rtp/239.49.0.20:8152
江苏影视,http://114.228.82.234:8888/rtp/239.49.0.20:8152
江苏影视,http://117.86.230.196:8000/rtp/239.49.0.20:8152
江苏影视,http://114.232.174.35:8889/rtp/239.49.0.20:8152
江苏影视,http://117.86.143.212:55555/rtp/239.49.0.20:8152
江苏教育,http://114.228.82.234:8888/rtp/239.49.0.23:8176
